9/24 00:37:46.579  ---- Startup ----
9/24 00:37:47.421  	Requesting TactKey RecID 15
9/24 00:37:47.421  	Requesting TactKey RecID 52
9/24 00:37:47.421  	Requesting TactKey RecID 56
9/24 00:37:47.421  	Requesting TactKey RecID 57
9/24 00:37:47.421  	Requesting TactKey RecID 102
9/24 00:37:47.421  	Requesting TactKey RecID 117
9/24 00:37:47.421  	Requesting TactKey RecID 118
9/24 00:37:47.421  	Requesting TactKey RecID 225
9/24 00:37:47.421  	Requesting TactKey RecID 246
9/24 00:37:47.421  	Requesting TactKey RecID 251
9/24 00:37:47.421  	Requesting TactKey RecID 257
9/24 00:37:47.421  	Requesting TactKey RecID 261
9/24 00:37:47.421  	Requesting TactKey RecID 262
9/24 00:37:47.421  	Requesting TactKey RecID 275
9/24 00:37:47.421  	Requesting TactKey RecID 280
9/24 00:37:47.421  	Requesting TactKey RecID 7855
9/24 00:37:47.421  	Requesting TactKey RecID 7856
9/24 00:37:47.421  	Requesting TactKey RecID 8018
9/24 00:37:47.421  	Requesting TactKey RecID 8036
9/24 00:37:47.421  	Requesting TactKey RecID 8112
9/24 00:37:47.421  	Requesting TactKey RecID 8129
9/24 00:37:47.421  	Requesting TactKey RecID 8214
9/24 00:37:47.421  	Requesting TactKey RecID 8215
9/24 00:37:47.421  	Requesting TactKey RecID 8278
9/24 00:37:59.568  ---- ClientAvailableHotfixes: region 16842753 ----
9/24 00:37:59.614  ---- UserClientHotfixRequest ----
9/24 00:37:59.626  ---- ApplyingHotfixes from Cache ----
9/24 00:37:59.637  	109870 Table QuestV2CliTask RecID 98587 VALIDATION_RESULT_INVALID
9/24 00:37:59.637  	109870 Table QuestV2CliTask RecID 98588 VALIDATION_RESULT_INVALID
9/24 00:37:59.637  	109870 Table ItemSearchName RecID 282425 VALIDATION_RESULT_INVALID
9/24 00:37:59.637  	109870 Table ItemSearchName RecID 282426 VALIDATION_RESULT_INVALID
9/24 00:37:59.637  	109870 Table ItemXBonusTree RecID 332010 VALIDATION_RESULT_VALID
