"Name","Count","Uptime","Source",""

"Заряженная сфера","1","1731422$100.00%","Passive Ability",""

"Метка Бездны","3","1731422$100.00%","Consumable",""

"Настой магистров","1","1731422$100.00%","Consumable",""

"Настой рыцарей крови","2","1731422$100.00%","Consumable",""

"Настой талассийского сопротивления","2","1731422$100.00%","Consumable",""

"Обстрел сферами","1","1731422$100.00%","Passive Ability",""

"Парящий щит","1","1731422$100.00%","Passive Ability",""

"Умудренный мастер","1","1731422$100.00%","Passive Ability",""

"Чародейский залп","1","1731422$100.00%","Passive Ability",""

"Просвещение","2","1722351$99.48%","Passive Ability",""

"Плотоядные охотники","160","1713834$98.98%","Active Ability",""

"Щит праведника","9","1702478$98.33%","Active Ability",""

"Одержимый командир","397","1699991$98.18%","Passive Ability",""

"Мастер военного дела","279","1679644$97.01%","Active Ability",""

"Руна пылающей скорости","634","1676024$96.80%","Passive Ability",""

"Алая адаптация","113","1670325$96.47%","Passive Ability",""

"Обряд Халаззи","481","1668930$96.39%","Enchant",""

"Палач","693","1642142$94.84%","Passive Ability",""

"Сфера огненных чар","141","1628460$94.05%","Passive Ability",""

"Чародейская проницательность","234","1606156$92.77%","Passive Ability",""

"Приливная проницательность","150","1557925$89.98%","Trinket (Passive)",""

"Размашистые удары","121","1546321$89.31%","Active Ability",""

"Древнее пламя","307","1536949$88.77%","Passive Ability",""

"Каскад маны","1,271","1535534$88.69%","Passive Ability",""

"Руна искусной хитрости","243","1517791$87.66%","Passive Ability",""

"Руна универсального воина","393","1507054$87.04%","Active Ability",""

"Мозговой шторм","726","1458869$84.26%","Passive Ability",""

"Ядоклятое вознесение","248","1433894$82.82%","Passive Ability",""

"Руна критической мощи","360","1387755$80.15%","Passive Ability",""

"Героическая мощь","216","1386960$80.11%","Active Ability",""

"Освящение","39","1385654$80.03%","Active Ability",""

"Текучесть","300","1369864$79.12%","Passive Ability",""

"Неминуемая смерть","266","1344234$77.64%","Passive Ability",""

"Божественное наставление","752","1337212$77.23%","Passive Ability",""

"Концентрация Ула'тек","371","1319113$76.19%","Trinket (Passive)",""

"Чародейский залп","5,048","1308016$75.55%","Passive Ability",""

"Обряд Джан'алай","177","1304672$75.35%","Enchant",""

"Ядоклятая искусность","182","1297304$74.93%","Passive Ability",""

"Глаза разума","113","1204201$69.55%","Passive Ability",""

"Неистовые удары","122","1176914$67.97%","Passive Ability",""

"Сердце демона","427","1171937$67.69%","Passive Ability",""

"Ясность мысли","712","1155548$66.74%","Passive Ability",""

"Накопление силы","618","1151019$66.48%","Tier Bonus (4pc)",""

"Демонические очи","379","1098352$63.44%","Passive Ability",""

"Точность палача","471","1057417$61.07%","Passive Ability",""

"Сосредоточенное бешенство","188","1016414$58.70%","Enchant",""

"Сжатие времени","215","996185$57.54%","Passive Ability",""

"Святое оружие","49","979542$56.57%","Active Ability",""

