"SpellID"	"ProcTypeMask1"	"ProcTypeMask2"	"ProcChance"	"CumulativeAura"
"7870"	"2446676"	"0"	"100"	"0"
"31368"	"-2144337924"	"0"	"100"	"0"
"40303"	"2446592"	"0"	"100"	"0"
"43593"	"2446608"	"0"	"100"	"0"
"47536"	"0"	"4"	"101"	"4"
"48792"	"-2144337986"	"0"	"100"	"0"
"50470"	"2446608"	"0"	"100"	"0"
"50689"	"2446676"	"0"	"100"	"0"
"50995"	"2446676"	"0"	"100"	"0"
"51271"	"2446352"	"0"	"101"	"0"
"54476"	"2446676"	"0"	"100"	"0"
"57330"	"4112"	"4"	"101"	"0"
"57345"	"2446676"	"0"	"35"	"0"
"57352"	"2446676"	"0"	"15"	"0"
"57954"	"2446608"	"0"	"100"	"0"
"59052"	"65536"	"4"	"100"	"1"
"59057"	"0"	"4"	"100"	"0"
"60176"	"2446608"	"0"	"10"	"1"
"60753"	"2446676"	"0"	"100"	"0"
"63251"	"2446676"	"0"	"10"	"0"
"66214"	"2446676"	"0"	"50"	"0"
"72178"	"2446608"	"0"	"100"	"0"
"79684"	"0"	"4"	"100"	"0"
"81340"	"87040"	"4"	"101"	"1"
"86622"	"2446676"	"0"	"100"	"0"
"89912"	"2446336"	"0"	"100"	"0"
"91136"	"2446336"	"0"	"101"	"0"
"92276"	"-2113929217"	"0"	"100"	"0"
"94030"	"-2113929217"	"0"	"100"	"0"
"94032"	"-2113929217"	"0"	"100"	"0"
"96498"	"2446676"	"0"	"101"	"0"
"101376"	"2446676"	"0"	"101"	"0"
"101546"	"0"	"4"	"100"	"0"
"104428"	"2446676"	"0"	"100"	"0"
"104441"	"2446676"	"0"	"100"	"0"
"104561"	"2446676"	"0"	"100"	"0"
"105574"	"2446608"	"0"	"35"	"0"
"105900"	"2446676"	"0"	"100"	"0"
"107984"	"2446676"	"0"	"15"	"0"
"108281"	"2446676"	"0"	"100"	"0"
"109142"	"2446676"	"0"	"100"	"0"
"109803"	"2446676"	"0"	"15"	"0"
"109805"	"2446676"	"0"	"15"	"0"
"116427"	"2446676"	"0"	"20"	"0"
"118314"	"2446676"	"0"	"100"	"0"
"118333"	"2446676"	"0"	"100"	"0"
"120033"	"2446676"	"0"	"100"	"0"
"121128"	"15029588"	"0"	"100"	"0"
"121992"	"2446676"	"0"	"30"	"0"
"122008"	"2446676"	"0"	"100"	"0"
"123642"	"-1342177281"	"0"	"101"	"0"
"127380"	"2446608"	"0"	"100"	"0"
"128308"	"2446676"	"0"	"20"	"0"
"129041"	"2446608"	"0"	"100"	"0"
"129044"	"2446608"	"0"	"100"	"0"
"129045"	"2446608"	"0"	"100"	"0"
"129050"	"2446608"	"0"	"100"	"0"
"129051"	"2446608"	"0"	"100"	"0"
"129052"	"2446608"	"0"	"100"	"0"
"129053"	"2446608"	"0"	"100"	"0"
"129054"	"2446608"	"0"	"100"	"0"
"129069"	"2446608"	"0"	"100"	"0"
"129070"	"2446608"	"0"	"100"	"0"
"137639"	"36001104"	"0"	"100"	"2"
"140025"	"2446676"	"0"	"101"	"0"
"141324"	"2446676"	"0"	"100"	"0"
"142531"	"2446676"	"0"	"100"	"0"
"142536"	"2446676"	"0"	"100"	"0"
"143911"	"2446676"	"0"	"100"	"0"
"144079"	"2446676"	"0"	"101"	"0"
"144671"	"2446672"	"0"	"101"	"0"
"146068"	"2446608"	"0"	"75"	"0"
"146189"	"2446676"	"0"	"101"	"0"
"147226"	"2446676"	"0"	"101"	"0"
"150119"	"2446676"	"0"	"100"	"0"
"157136"	"2446676"	"0"	"35"	"0"
"158786"	"-1460666372"	"0"	"101"	"0"
"159234"	"2446676"	"0"	"100"	"0"
"159239"	"2446676"	"0"	"100"	"0"
"159243"	"2446676"	"0"	"100"	"0"
"159682"	"2446676"	"0"	"100"	"0"
"159683"	"2446676"	"0"	"100"	"0"
"159684"	"2446676"	"0"	"25"	"0"
"159685"	"3110908"	"0"	"100"	"0"
"163076"	"2446676"	"0"	"100"	"0"
"163297"	"2446676"	"0"	"101"	"0"
"165614"	"2446336"	"0"	"101"	"0"
"165825"	"2446676"	"0"	"100"	"0"
"165840"	"2446676"	"0"	"100"	"0"
"166881"	"2446608"	"0"	"101"	"0"
"167714"	"2446356"	"0"	"100"	"0"
"170523"	"15029588"	"0"	"20"	"0"
"171646"	"2446676"	"0"	"101"	"20"
"173321"	"2446676"	"0"	"100"	"0"
"173841"	"0"	"4"	"100"	"0"
"173904"	"2446672"	"0"	"101"	"0"
"173923"	"2446672"	"0"	"101"	"0"
"173957"	"2446672"	"0"	"101"	"0"
"174005"	"2446672"	"0"	"101"	"0"
"176038"	"2446676"	"0"	"101"	"0"
